Days ago,Date,Yield(Wh),Consumption(Wh),Max. PV power(W),Max. PV voltage(V),Min. battery voltage(V),Max. battery voltage(V),Time in bulk(m),Time in absorption(m),Time in float(m),Last error,2nd last error,3rd last error,4th last error
0,19/06/2026,40,40,27.00,21.96,13.28,13.49,300,0,0,0,0,0,0
1,18/06/2026,70,110,66.00,23.44,13.28,14.21,380,120,490,0,0,0,0
2,17/06/2026,80,100,81.00,23.49,13.28,14.21,378,120,469,0,0,0,0
3,16/06/2026,70,110,56.00,23.16,13.28,14.22,318,120,532,0,0,0,0
4,15/06/2026,80,110,44.00,23.91,13.28,14.21,371,120,487,0,0,0,0
5,14/06/2026,80,100,63.00,23.34,13.28,14.21,355,120,504,0,0,0,0
6,13/06/2026,80,110,52.00,23.42,13.28,14.21,447,120,424,0,0,0,0
7,12/06/2026,70,100,66.00,23.91,13.28,14.21,527,120,346,0,0,0,0
8,11/06/2026,70,100,22.00,23.33,13.28,14.22,376,120,484,0,0,0,0
9,10/06/2026,70,90,57.00,24.47,13.28,14.21,336,120,506,0,0,0,0
10,09/06/2026,80,100,46.00,24.52,13.28,14.26,344,120,508,0,0,0,0
11,08/06/2026,70,100,26.00,23.96,13.28,14.22,470,120,349,0,0,0,0
12,07/06/2026,70,100,41.00,23.86,13.28,14.22,316,120,538,0,0,0,0
13,06/06/2026,80,100,95.00,24.24,13.28,14.21,401,120,406,0,0,0,0
14,05/06/2026,70,100,40.00,23.99,13.28,14.21,326,120,530,0,0,0,0
15,04/06/2026,70,110,46.00,24.12,13.28,14.22,343,120,512,0,0,0,0
16,03/06/2026,80,100,31.00,24.20,13.28,14.21,358,120,502,0,0,0,0
17,02/06/2026,70,100,93.00,23.99,13.27,14.21,457,120,392,0,0,0,0
18,01/06/2026,70,110,41.00,23.38,13.28,14.21,312,120,521,0,0,0,0
19,31/05/2026,80,110,30.00,23.63,13.29,14.22,315,120,535,0,0,0,0
20,30/05/2026,90,120,46.00,22.58,13.28,14.21,359,120,486,0,0,0,0
21,29/05/2026,70,120,35.00,23.17,13.28,14.21,344,120,491,0,0,0,0
22,28/05/2026,90,120,47.00,22.87,13.28,14.21,324,120,515,0,0,0,0
23,27/05/2026,80,110,52.00,22.64,13.28,14.21,377,120,455,0,0,0,0
24,26/05/2026,80,130,53.00,22.15,13.28,14.21,410,120,413,0,0,0,0
25,25/05/2026,90,120,52.00,22.22,13.28,14.21,401,120,432,0,0,0,0
26,24/05/2026,80,120,41.00,22.45,13.29,14.21,374,120,455,0,0,0,0
27,23/05/2026,90,120,39.00,22.50,13.28,14.21,300,120,511,0,0,0,0
28,22/05/2026,80,110,53.00,22.82,13.29,14.21,359,120,465,0,0,0,0
29,21/05/2026,70,110,35.00,23.49,13.28,14.21,361,120,453,0,0,0,0
30,20/05/2026,80,100,49.00,24.10,13.28,14.22,282,120,517,0,0,0,0
