species_id,class_name,common_name,species
208,barbar,Barbastelle,Barbastella barbastellus
209,cneser,Serotine,Cnephaeus serotinus
210,myoalc,Alcathoe bat,Myotis alcathoe
211,myobec,Bechstein’s bat,Myotis bechsteinii
212,myobra,Brandt’s bat,Myotis brandtii
213,myodau,Daubenton’s bat,Myotis daubentonii
214,myomys,Whiskered bat,Myotis mystacinus
215,myonat,Natterer’s bat,Myotis nattereri
216,nyclei,Lesser noctule,Nyctalus leisleri
217,nycnoc,Common noctule,Nyctalus noctula
218,pipnat,Nathusius’ pipistrelle,Pipistrellus nathusii
219,pippip,Common pipistrelle,Pipistrellus pipistrellus
220,pippyg,Soprano pipistrelle,Pipistrellus pygmaeus
221,pleaur,Brown long-eared bat,Plecotus auritus
222,pleaus,Grey long-eared bat,Plecotus austriacus
223,rhifer,Greater horseshoe bat,Rhinolophus ferrumequinum
224,rhihip,Lesser horseshoe bat,Rhinolophus hipposideros
