species_id,class_name,common_name,species,exclude_vis,exclude_messages
17,Accipiter nisus_Eurasian Sparrowhawk,Sparrowhawk,Accipiter nisus,False,False
18,Acrocephalus palustris_Marsh Warbler,Marsh Warbler,Acrocephalus palustris,False,False
19,Acrocephalus schoenobaenus_Sedge Warbler,Sedge Warbler,Acrocephalus schoenobaenus,False,False
20,Acrocephalus scirpaceus_Eurasian Reed Warbler,Reed Warbler,Acrocephalus scirpaceus,False,False
21,Actitis hypoleucos_Common Sandpiper,Common Sandpiper,Actitis hypoleucos,False,False
22,Aegithalos caudatus_Long-tailed Tit,Long-tailed Tit,Aegithalos caudatus,False,False
23,Aix galericulata_Mandarin Duck,Mandarin Duck,Aix galericulata,False,False
24,Alauda arvensis_Eurasian Skylark,Skylark,Alauda arvensis,False,False
25,Alca torda_Razorbill,Razorbill,Alca torda,True,False
26,Alcedo atthis_Common Kingfisher,Kingfisher,Alcedo atthis,False,False
27,Alectoris rufa_Red-legged Partridge,Red-legged Partridge,Alectoris rufa,False,False
28,Alopochen aegyptiaca_Egyptian Goose,Egyptian Goose,Alopochen aegyptiaca,False,False
29,Anas acuta_Northern Pintail,Pintail,Anas acuta,False,False
30,Anas crecca_Green-winged Teal,Teal,Anas crecca,True,False
31,Anas platyrhynchos_Mallard,Mallard,Anas platyrhynchos,False,False
32,Anser albifrons_Greater White-fronted Goose,White-fronted Goose,Anser albifrons,False,False
33,Anser anser_Graylag Goose,Greylag Goose,Anser anser,False,False
34,Anser brachyrhynchus_Pink-footed Goose,Pink-footed Goose,Anser brachyrhynchus,False,False
35,Anser serrirostris_Tundra Bean-Goose,Tundra Bean Goose,Anser serrirostris,False,False
36,Anthus campestris_Tawny Pipit,Tawny Pipit,Anthus campestris,False,False
37,Anthus petrosus_Rock Pipit,Rock Pipit,Anthus petrosus,True,False
38,Anthus pratensis_Meadow Pipit,Meadow Pipit,Anthus pratensis,True,False
39,Anthus spinoletta_Water Pipit,Water Pipit,Anthus spinoletta,False,False
40,Anthus trivialis_Tree Pipit,Tree Pipit,Anthus trivialis,True,False
41,Apis mellifera_Honey Bee,Honey Bee,Apis mellifera,True,True
42,Apus apus_Common Swift,Swift,Apus apus,False,False
43,Aquila chrysaetos_Golden Eagle,Golden Eagle,Aquila chrysaetos,False,False
44,Ardea alba_Great Egret,Great White Egret,Ardea alba,False,False
45,Ardea cinerea_Gray Heron,Grey Heron,Ardea cinerea,False,False
46,Ardea purpurea_Purple Heron,Purple Heron,Ardea purpurea,False,False
47,Ardenna grisea_Sooty Shearwater,Sooty Shearwater,Ardenna grisea,True,False
48,Arenaria interpres_Ruddy Turnstone,Turnstone,Arenaria interpres,False,False
49,Asio flammeus_Short-eared Owl,Short-eared Owl,Asio flammeus,False,False
50,Asio otus_Long-eared Owl,Long-eared Owl,Asio otus,False,False
51,Athene noctua_Little Owl,Little Owl,Athene noctua,False,False
52,Aythya collaris_Ring-necked Duck,Ring-necked Duck,Aythya collaris,False,False
53,Aythya ferina_Common Pochard,Pochard,Aythya ferina,False,False
54,Aythya fuligula_Tufted Duck,Tufted Duck,Aythya fuligula,True,False
55,Aythya marila_Greater Scaup,Scaup,Aythya marila,False,False
56,Aythya nyroca_Ferruginous Duck,Ferruginous Duck,Aythya nyroca,False,False
57,Bombycilla garrulus_Bohemian Waxwing,Waxwing,Bombycilla garrulus,False,False
58,Botaurus stellaris_Great Bittern,Bittern,Botaurus stellaris,False,False
59,Branta bernicla_Brant,Brent Goose,Branta bernicla,False,False
60,Branta canadensis_Canada Goose,Canada Goose,Branta canadensis,False,False
61,Branta leucopsis_Barnacle Goose,Barnacle Goose,Branta leucopsis,False,False
62,Bucephala clangula_Common Goldeneye,Goldeneye,Bucephala clangula,True,False
63,Burhinus oedicnemus_Eurasian Thick-knee,Stone-curlew,Burhinus oedicnemus,False,False
64,Buteo buteo_Common Buzzard,Buzzard,Buteo buteo,False,False
65,Calidris alba_Sanderling,Sanderling,Calidris alba,True,False
66,Calidris alpina_Dunlin,Dunlin,Calidris alpina,False,False
67,Calidris canutus_Red Knot,Knot,Calidris canutus,False,False
68,Calidris ferruginea_Curlew Sandpiper,Curlew Sandpiper,Calidris ferruginea,True,False
69,Calidris maritima_Purple Sandpiper,Purple Sandpiper,Calidris maritima,False,False
70,Calidris melanotos_Pectoral Sandpiper,Pectoral Sandpiper,Calidris melanotos,False,False
71,Calidris minuta_Little Stint,Little Stint,Calidris minuta,True,False
72,Calidris pugnax_Ruff,Ruff,Calidris pugnax,False,False
73,Calonectris diomedea_Cory's Shearwater,Scopoli's Shearwater,Calonectris diomedea,False,False
74,Caprimulgus europaeus_Eurasian Nightjar,Nightjar,Caprimulgus europaeus,False,False
75,Carduelis carduelis_European Goldfinch,Goldfinch,Carduelis carduelis,False,False
76,Cepphus grylle_Black Guillemot,Black Guillemot,Cepphus grylle,False,False
77,Certhia brachydactyla_Short-toed Treecreeper,Short-toed Treecreeper,Certhia brachydactyla,False,False
78,Certhia familiaris_Eurasian Treecreeper,Treecreeper,Certhia familiaris,False,False
79,Cettia cetti_Cetti's Warbler,Cetti's Warbler,Cettia cetti,False,False
80,Charadrius hiaticula_Common Ringed Plover,Ringed Plover,Charadrius hiaticula,False,False
81,Chlidonias hybrida_Whiskered Tern,Whiskered Tern,Chlidonias hybrida,False,False
82,Chlidonias leucopterus_White-winged Tern,White-winged Black Tern,Chlidonias leucopterus,False,False
83,Chlidonias niger_Black Tern,Black Tern,Chlidonias niger,True,False
84,Chloris chloris_European Greenfinch,Greenfinch,Chloris chloris,True,False
85,Chroicocephalus ridibundus_Black-headed Gull,Black-headed Gull,Chroicocephalus ridibundus,False,False
86,Ciconia ciconia_White Stork,White Stork,Ciconia ciconia,False,False
87,Ciconia nigra_Black Stork,Black Stork,Ciconia nigra,False,False
88,Cinclus cinclus_White-throated Dipper,Dipper,Cinclus cinclus,False,False
